"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "HTML", "JavaScript JSX", "CSS", "SCSS", "Properties", "comment", "blank", "total"
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 3, 16, 151
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 4, 21
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 8, 99
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 0, 55, 311
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_nucleo-outline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 435, 0, 29, 103, 567
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_page-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 13, 86
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 1, 18, 141
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_pills.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 1, 8, 135
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_popups.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 16, 86
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_progress.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 462, 0, 0, 89, 551
